words,meanM,meanY
ka_H2,128.710934,132.102331
ke_H2,134.40806,104.966967
kee_H2,123.219314,135.187778
ki_H2,86.9637078,95.4107015
ki_L2,109.427954,80.7241858
ko_H2,127.025566,116.044852
ko_L2,98.7219968,87.8016954
koo_H2,158.600562,132.017928
koo_L2,123.73773,83.5145284
koo_M2,122.282254,112.914939
ku_H2,145.275067,80.6033783
ku_L2,101.180151,72.969037
ta_L2,96.5758238,103.112837
tee_H2,166.40288,146.098212
tee_L2,108.643594,113.299628
ti_H2,120.551454,103.924467
ti_L2,80.2722175,92.880826
ti_M2,141.196899,138.158449
to_H2,148.58625,131.591305
to_L2,99.8120301,110.853998
too_H2,152.408915,134.754046
too_L2,132.231573,101.890823
tu_H2,124.599148,110.974193
tu_L2,95.0814229,51.4848805
tu_M2,109.63785,111.532175